Node,Closeness Centrality,Betweenness Centrality,Degree Centrality,PageRank,Hub Score,Authority Score,Eigenvector Centrality
2dLhpezBEgAELn73fiMEak,0.11690103631506327,0.0,8.371002846140967e-05,3.4506905850367276e-05,6.210947765302476e-09,6.210947764974098e-09,1.1385530354202995e-07
5ezEIPihpm2wUuB1zNTBgj,0.13095238095238096,0.0,8.371002846140967e-05,4.234389128206599e-05,1.15184683881239e-07,1.1518468388082785e-07,2.0319214223763875e-06
6DOAfnAmoewx2aEXIq7DWx,0.13682124818178695,0.0,8.371002846140967e-05,4.0458785431872554e-05,8.371868900764734e-07,8.371868900775748e-07,1.3753318278011033e-05
4lQRNhAKqn4S8pbHvJykKh,0.15074768124171872,0.0,8.371002846140967e-05,3.071018149672085e-05,2.5706255394574037e-06,2.5706255394579132e-06,4.333821342369481e-05
3YbWcfZCP1MPYvMzLxkvSI,0.15394925061535883,0.0006437446519812693,0.00016742005692281934,5.8344849450049616e-05,1.381592174746919e-06,1.3815921747466143e-06,2.3731820073531157e-05
6MEz9NMqBseGCPes6zV3cj,0.12211103047153707,0.0,8.371002846140967e-05,4.0200071941570175e-05,1.2328030519239588e-08,1.2328030519040298e-08,2.2394760307209812e-07
2xqQFOqh3UTTI7NdNPPKj4,0.08079154887665525,0.0,8.371002846140967e-05,5.112526330871924e-05,7.637176853821039e-13,7.637176853057146e-13,1.2447879241800756e-11
62Rz22r0849Ojp6LV3zT2N,0.11222908035286491,0.0,8.371002846140967e-05,4.31695095390326e-05,2.109440209495434e-09,2.109440209229503e-09,3.717224340227909e-08
2dBj3prW7gP9bCCOIQeDUf,0.17211272475795297,0.0,8.371002846140967e-05,3.137193272797157e-05,1.7431460904990548e-05,1.743146090499069e-05,0.00030840647892444524
6y30Dr67AAcIkJewmh1b66,0.11583550698639568,0.0,8.371002846140967e-05,4.7110928223737105e-05,4.3697738792500704e-09,4.36977387889769e-09,8.051263358063565e-08
0VpzUWoXz5J3T4pdp4JwTa,0.1546307682350657,0.0,8.371002846140967e-05,3.599425984673519e-05,2.730839116801917e-06,2.7308391168024517e-06,4.824896636958357e-05
6xgvgzXNv3ymcITXTrxRaA,0.13096530175957902,0.0,8.371002846140967e-05,3.5756283972229176e-05,8.763672042617114e-08,8.763672042654621e-08,1.54498133579629e-06
1NquIpUftl46jwsfSdf21J,0.14309842958277932,0.0,8.371002846140967e-05,4.083481328394032e-05,8.686630319999249e-07,8.686630320003319e-07,1.5142438833083629e-05
54DALKUBHXwXee6LLqGWsS,0.11823274411607514,5.427584855752506e-06,0.000251130085384229,7.933573737833683e-05,6.9093283566453495e-09,6.909328357317244e-09,1.2677114247882312e-07
4ht39ctbwLaGwDaz2gdMxu,0.11926559707676487,0.0,8.371002846140967e-05,4.2997177685156114e-05,8.57431129191555e-09,8.574311291580765e-09,1.6006506751282435e-07
0kq9RAjcrjWwAegfqbBFRD,0.1307975298909473,0.0,8.371002846140967e-05,3.667591369912607e-05,5.5886140269756555e-08,5.5886140270106386e-08,1.0073003147491286e-06
36r4ltZmLqtiDBdAs9XSqn,0.15973791535735776,0.0011713517301976378,0.00016742005692281934,6.71032852768102e-05,5.624170838885434e-06,5.62417083888512e-06,9.603942981680905e-05
5kogX3xGptBNH77oMYe00p,0.1341644204851752,0.0,8.371002846140967e-05,4.0983609343645966e-05,1.0517929949650602e-07,1.0517929949686148e-07,1.8667283848101528e-06
6vo53K8512eTyAhkMmxxBi,0.07043133740537226,0.0,8.371002846140967e-05,4.37437491307985e-05,9.175563441304618e-16,9.175142959774823e-16,1.8308435964606323e-14
3OFFaaS88lGIFMgewoJtOV,0.14430324700425204,0.0,8.371002846140967e-05,3.995192427650029e-05,5.109578753487864e-07,5.109578753484918e-07,8.854085544972964e-06
6DZlf2IFBdNFiIHxM3oIJH,0.13162331008495026,0.0,8.371002846140967e-05,3.907288279047926e-05,2.599193941115271e-07,2.5991939411192327e-07,4.521178966459556e-06
6dLmkDJ0rahtzUgcpUyxGQ,0.11690103631506327,0.0,8.371002846140967e-05,3.4506905850367276e-05,6.210947765302476e-09,6.2109477645360375e-09,1.1385530354202995e-07
2ZlpXPwPvzYv6o6ngJkmmo,0.10740391099123399,0.0,8.371002846140967e-05,4.090423367741199e-05,9.771583028571255e-10,9.77158302522953e-10,1.8307072946384343e-08
5Q81rlcTFh3k6DQJXPdsot,0.16009327383106178,0.001054088130124074,0.0008371002846140967,0.0002755684698975891,6.1111244159314686e-06,6.111124415930823e-06,0.00010633796160408893
