spotify_id,name,followers,popularity,genres,chart_hits
1DHlmHnDCZSR8H9sNSJRHj,Vous,407.0,6,[],
6FPEQvwa3T1V9vYvMSUkHV,Jindrich Voboril,3.0,4,[],
6544ChP8IwDIu2o7z8SI3Z,Aiky,121.0,10,[],
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,1275410.0,67,"['dance pop', 'danish electronic', 'deep house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']","['us (1)', 'gb (2)', 'ar (1)', 'au (2)', 'at (4)', 'be (2)', 'bo (1)', 'br (2)', 'bg (3)', 'ca (3)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (3)', 'cz (3)', 'dk (13)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (3)', 'fi (5)', 'fr (1)', 'de (3)', 'gr (3)', 'gt (1)', 'hn (1)', 'hk (2)', 'hu (3)', 'is (2)', 'id (2)', 'ie (2)', 'it (1)', 'jp (1)', 'lv (3)', 'lt (5)', 'lu (3)', 'my (3)', 'mt (3)', 'mx (2)', 'nl (3)', 'nz (1)', 'ni (1)', 'no (9)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (2)', 'pl (3)', 'pt (1)', 'ro (1)', 'sg (3)', 'sk (3)', 'za (1)', 'es (1)', 'se (9)', 'ch (2)', 'tw (3)', 'th (1)', 'tr (1)', 'uy (1)']"
3ZcbVcd3fsf9qKK02UVzGB,Gary Barlow,317724.0,46,['europop'],"['gb (1)', 'ie (1)']"
6Nlyt1MUEBe1jN0h7F4hn0,INDEB,840.0,38,[],['pl (1)']
6pC3vnUgNVITdYMMXefi6D,WONHO,750492.0,52,['k-pop'],
65eHyQC0V8h38ia3dLKaRm,Lisa Howard,489.0,28,[],
27RDnBg509vYTzsaTpvINU,Unge Lovene,78.0,2,[],
5OCag6AhV8nLDbR2O3dE2F,Dj Victor SB,32.0,20,[],
2hkGkEnyudpE42IU4DBt99,Manuel Riva,13637.0,46,"['groove room', 'romanian electronic', 'romanian pop']",['bg (2)']
7mNDu6CyNEiydSdfvf84n8,Kike,127.0,14,[],
70iSdb118urLVyBB5NIkUG,Ívar Pétur,2.0,0,[],
5RngmQiJGRMuGiPr6H4ad3,Rubiera,682.0,22,[],
5ksD5XT78Q3JpED82u9rNO,DJ Smaaland,1144.0,21,['russelater'],['no (1)']
4iPxsvBV5arAXe6COki3Oy,Enderhax,768.0,5,['brazilian bass'],
79pkz4kQTE5mLWss4U0ozi,FEEL,4909.0,29,"['progressive trance', 'progressive uplifting trance', 'russian trance', 'uplifting trance']",
6R2AgShAYIEOkulvSSant5,筷子兄弟,4722.0,32,['chinese viral pop'],['tw (1)']
1DFUWlY3L58m9AsQYxKhyT,MC Kel,0.0,0,[],
4egkDqNQSTMGECeGfms1QS,Space,33.0,10,[],
4HVErsBJ9jnwH2qKSP47By,Jordan Morris,582.0,31,[],
0lmpSjaPzC8ChqeFQ6Z3VS,Hervé,5652.0,27,['fidget house'],
7py6xjf0DvCXSuNGttaM1y,Andreas Maid,0.0,0,[],
6Ky79VhTdV66DXQGaIp8ZE,дима бамберг,20.0,10,[],
1Ggh0Aj1EgYetcfz678COw,Detlef Kraus,281.0,7,[],
7KTls7DjPSokHZG4XF8GJb,Petter Dass,13.0,1,[],
4X6UZfUJHgb8RfNcBp6mlg,Arnaldo Buena,1.0,2,[],
5Ux43QxBwu6273dhhwjA6t,Stuhr,26.0,12,[],
33mpx3IrKw93IM1C8tVSQi,Lisan Beat,163.0,35,[],
1AuRlK2at816nYYQRRDaov,Amber Melody,115.0,0,[],
0r6tUqpXxetklBsrzkqoM9,Soni Pabla,232726.0,43,"['bhangra', 'desi hip hop', 'punjabi pop']",
4IbUky1dWqlyVlMMTJXPI5,King Henry,14789.0,46,['la pop'],
43zfbzuXQncLzV9RyHy2EP,Bost & Bim,1352.0,35,"['french reggae', 'modern reggae']",
0CGYRKmT0guu1iWic7Ah8R,A Drizzy,10.0,0,[],
7bEG4lOgTtBSDKGZbEecQE,Kattch,1201.0,25,['chillsynth'],
7pbM9SEHq4s2K0n4QoVlYi,Plan.Z,105.0,4,[],
09GxEWSAUueOujOJvwXZHc,Sound is Style,6.0,3,[],
56nEBlCq6bLpqGJnS83BvN,Xtrah,5992.0,14,"['deep dnb', 'deep liquid bass']",
6OPUscoxZHZHQ2wUbiQhmR,Ben Maxwell,4531.0,17,[],
119BqJ7qRURlIOb22caU5W,Sardos97,99.0,19,[],
3kQ1aIfdp1o46VRUymyx4t,Sami x Lema,0.0,0,[],
3ZPSeDJ2TS7qMDB4DvbeRi,Mc Jeffinho,0.0,3,[],
4z5vrxjYgbeE7bdoDstyQk,Vyshak V Bhargav,17.0,6,[],
5lwfrqeXJRoAISk0ZxqjSy,Raoul Wijffels,2.0,29,[],
3Hpm00gcPEJU7krijsa2Nx,Cortijo y Su Combo Original,30.0,4,[],
6Bt0LvFLkpYwuixcfYkv1b,Terry Lex,78155.0,26,['funky house'],
3vEGsVHxuT85ONJMrbRrmR,Geremi Martinez DJ,3.0,0,[],
5HfK3VuVDpr1eCeYgE6h7Z,Mats Olin,319.0,14,[],['se (1)']
17G3hMwuuHkDW1sDB2vQl8,Xeno (Ch),65.0,5,[],
6CaMYv7NbgNHh8npP6rzdi,DJ Gruff,41510.0,30,"['rap italiano old school', 'rap sardegna']",
1AT64PJc0geIUwVRqYqkTu,Axol,14787.0,40,['gaming edm'],
3aQC06IfkrSYjopNkl6S0v,Ric-E,16.0,0,[],
4XCNFoyTf3VTZTIKxO0y9j,Jesse McReynolds,485.0,7,['mandolin'],
0ka0kKZgG8ewkpIn4Qn37W,Jere McAllister for Slang Music Group,1.0,3,[],
6HhsbprrJmKeaH8SgSlGge,Kin$oul,12578.0,57,[],
3PV11RNUoGfX9tMN2wVljB,Hacken Lee,323798.0,51,"['c-pop', 'cantopop', 'classic cantopop']",['hk (3)']
5QnIbp5M99yVqebaeKyJXl,Bo James,69.0,0,[],
4jzvaIdQqLBp0wW2ZYkFAu,Chace Infinite,495.0,35,[],
7dYZQNB4jkQdNxbJKhXeXa,Klommo,11.0,1,[],
187YBR2vRDJhfZ2AddqoBb,ARTHUR DE AFC,892.0,33,[],
71JAhEGrtBb2Xcjq25TSk5,Edwin Klift,984.0,30,['scandipop'],
3u07NDek29YpaTuNSDdOxJ,LION dj,366.0,28,[],
0Fh9nNdiSPLCwaKF1NV9De,Lucho,13175.0,20,[],
7j3rplwFIjrg9Wm1yrHLx6,Arquero,9094.0,35,"['rap uruguayo', 'uruguayan indie']",
5fsVgeMY2QWGXbNW6rIjgN,Carla Sol,1827.0,36,['rap feminino nacional'],
7btarWoKEG5z3ndq0g4XFQ,Teflon030,9637.0,38,"['german hip hop', 'german underground rap']",
6j1n0peTGUVJu5K16lT1Il,Godholly,66.0,10,[],
62Hped8KMeSwPABlhpcqst,Vitinho Ferrari,22325.0,43,['batidao romantico'],
4LaaKZr2GBlv4w2TykS1bZ,Don Tre,293.0,1,[],
1TiO8nr22Wnh27gPqY1GSk,Paravai Muniyamma,1348.0,30,['classic kollywood'],
6Z99p0M73gzZSHQ1FlonCi,Ralo,161057.0,37,"['atl trap', 'trap']",
4JfwtaWNqqyC3lDeHUY2pY,Father Z,0.0,13,[],
7rplfMbSNwzdDJ2G2zNvBF,Rod,88.0,5,[],
48plIbtwPxfV350u3IS9cB,High N Wild,157.0,18,[],
6QS84S3i4gwdEKqWoTtDLd,La Fouine,508420.0,52,"['arabic hip hop', 'francoton', 'french hip hop', 'pop urbaine']",['fr (12)']
70ygaPJzebQpSKtzbW2u93,I.K (TLF),22079.0,32,['french hip hop'],
0y7KU2ORYSelrSYZhZkqcB,Old Skool Lego,1.0,0,[],
7nJNuftnqwrFGFs3ZRRe0u,MEMBA,68021.0,52,"['bass trap', 'electronic trap', 'electropop', 'future bass', 'indian edm', 'traprun', 'vapor twitch']",['in (1)']
5fj4oi7qHDoklvnnYmSBl0,sadeyes,126553.0,56,"['emo rap', 'sad lo-fi', 'sad rap']",
6BLPuS2Tq1ePpZGyo8dXCW,Sirhot,12807.0,21,['turkish hip hop'],
37U9sPqTZMd7AKJCWgcvkt,Pryda,134622.0,44,"['edm', 'electro house', 'house', 'progressive electro house', 'progressive house', 'tech house']",
0cCld3J2DyjvpX1oxFpyKX,Pulsedriver Remix,0.0,0,[],
6mquRNZm8DYTOCbYoRh7A1,BLNK,2272.0,15,['korean underground rap'],
16ZtQY9WmjLJsbSyoMMoqE,Dr.Alfred,41.0,0,[],
2P1ASqK3MbHCiL44mOFhv8,Doqdoq,0.0,1,[],
1nFwLuiEQVlVUYSmdv8Wp0,Dame Judi Dench,67.0,3,[],
0MEnqBt8nt7ypkNpH0LSG7,Le Cashe,20.0,1,[],
1TIwKVUhQ2daAIEzs4VcKk,Godjako,78.0,6,[],
2Cd1O6CFrDWSQmKeBBS1zZ,Thunda B,1.0,1,[],
1ybAN3utgdoUL1MUCtH4QM,Tennis,254846.0,53,"['art pop', 'chillwave', 'denver indie', 'indie pop', 'indie rock', 'indie surf']",
4k58FaO4UfcAGvL2jazDe0,Archana Arya,0.0,0,[],
0awWNjR5qmSZsQVFAo2NsR,2K,49589.0,53,['polish hip hop'],['pl (5)']
3uBwt9Ta2QS0n5LTEQ0pXz,Otto Jaus,71.0,13,[],
4flrwqSTqk2O8a9KMfkLu7,Karoon,1666.0,30,"['ukrainian indie', 'ukrainian pop', 'ukrainian rock']",
7x8FMmtil03ZC6oIEPz8xs,葉秉桓,1107.0,5,[],['tw (2)']
4yssWh54D4nZFjeWRWH3dj,Jacob Weinstein,0.0,0,[],
2A7DYIxx205IlyiwPwdtuG,Phyllis Bryn-Julson,198.0,6,[],
4mDyp9yRHugUnXvIBrt9xP,Cizzo,696.0,32,[],['dk (1)']
5D27EqfG1NLBbbbET80qeU,Maria Ylipää,564.0,12,['disney suomi'],
49uF4eSOaoykSFuGCiNhs7,Meero lastekoor,0.0,0,[],
4MMUBF8nZfAJXPJbAeQYOS,Skeme,18.0,23,[],
48ON7GrWL4XuueOefP3ikq,Hajar Mks,29.0,14,[],
5ictveRyhWRs8Gt8Dvt1hS,The Front Bottoms,577356.0,63,"['asbury park indie', 'emo', 'modern rock', 'new jersey indie']",
68RoQ83MT6FpsNJQwfMOWK,MC Letto,737.0,49,[],
5uueugunRcKfC9Yf3FBc8n,Hal Ritson,22.0,11,[],
4h5u41FZIH9q75XLH1DJjM,Super Janne,1865.0,16,['suomirap'],
4MdLjZHXtbfz49ej3FM2gK,何珺潔,0.0,0,[],
7vohy1W7YNLxHynG44UFjS,Sampagne,4207.0,48,"['german hip hop', 'german trap']",
5pTsrFcYLR8Uy9f1wMUXDz,Jacob Bush,83.0,32,[],
4aKNTwi3RF06ShRAyxFGAq,Laur Pihlap,0.0,0,[],
2bSVTbL5gcDIXvrsoUB1wY,Profound,63.0,4,[],
3xGBkRnN8pLfCYyuqnnHxY,Adam Fierce,17.0,0,[],
2xsGRYbJmnzsVmFAg37PSi,King Tef,43.0,17,[],
4y0G11kIVcUrvbJjIeRttg,Loc-Dog,47429.0,38,"['russian hip hop', 'russian trap']",
1KVb90co8u2yV4SfJuKOnc,Terilekst,897.0,24,['dutch hip hop'],
4j4l5y862CZaGzpPt7ZJR2,Stanislav Hložek,3088.0,39,['classic czech pop'],
3vvc0xe34W7dNy5mIyWCjg,Laura van den Elzen,3551.0,13,[],
62Ne0pYv1TsjOoH2uB4idK,Juha Eirto,823.0,7,"['classic finnish pop', 'classic iskelma', 'finnish tango']",
4dzBI0zo6Am117xNKMlmvS,AATICUS,15.0,18,[],
6Xr7cArYkThrMUoOFzYim3,Valentina Tioli,2097.0,15,[],
2r1CRqPCo5kYuR7PvuLkEf,Klassy Project,220.0,8,[],
7nebxo7E3Gzr5dAf7bZi7A,Jürgen Thormann,367.0,51,[],
4XpWXZhhiO0tdPu2iyuqcN,Irawan F,0.0,0,[],
5CnDagJq4eOpsVrkV7JbW4,Misso Masiara,1.0,5,[],
1UjLyuJUXKzlECQRLIsF3n,Gio Evan,98120.0,49,['italian indie pop'],['it (1)']
2HoaVzOMwwXNauX5cjdXwg,Deza,3434.0,41,[],
62ixDW3ANqehf4zKrYUkRD,Hiro,1.0,13,[],
2h82nhrLwtUEbaFJrclxjn,Firqat Alnoor,132.0,6,[],
59EfGtt5X4ETImpTZMvsuw,MC DL 22,27.0,31,[],
3gQ8iee3y7UsGTMuhjzEuD,Syed Subahan,4670.0,31,['tamil pop'],
0A3xLI4Giu7xkjxMkIwkQs,Julian Erlandsson,6.0,0,[],
1JWDsFdrmxNKtKIKLg6Rqc,デミトリ・ヴェガス&ライク・マイク,31.0,4,[],
0HJsX1aTdgG1VDIRDiseSJ,Sarah Barrios,28376.0,49,['alt z'],
2FAIick0YpbgvuJylGXRUj,Jeanette Köhn,289.0,12,[],
0qiDXyMcygw4D3QZOpeZyp,Elbee Bad,520.0,8,[],
44lzFVYV0WHYP9vSX9angX,Bulletproof,172.0,20,['nz dnb'],
34KIWZcsnxUg2BVBkUoybn,JUU 4 E,54.0,8,[],
5Hci9T2EhKGJeGb8wytEKj,YP,17.0,11,[],
4a8wp47iTjfeSeESjHLxUa,HENDY ADJI,480.0,29,[],
6ZnXl9qPs2YKT5k9NyhdcR,Negash Ali,761.0,11,['danish hip hop'],
7ssDDQAUFA9Z5k5VbbqYxg,Ağaçkakan,26621.0,36,['turkish hip hop'],
3iDCbcQti4beq3r7SuwpIs,Livio & Roby,3872.0,8,"['minimal tech house', 'romanian electronic', 'rominimal']",
2FOSYxFBypFLhoFDiWuRuU,Kid Pex,525.0,7,"['austrian hip hop', 'croatian hip hop']",
6uhUirLJBpM0fD5KoE1tTN,Baskın,885.0,32,[],
4Fa3BY2vz5ZVxuzWRpieGL,Serpil Erol,5.0,2,[],
2VzpDnLJ6SdqH3M0E5e0lR,You,1.0,0,[],
3shBNuvo8XyNthoiWNaCYc,Fresh Mind Co.,5171.0,47,"['pop rap brasileiro', 'trap funk']",
3sKH5vlZAIhy9yoGPip3ri,Гига,587.0,3,[],
5dj2TPLbKWFIMkfUgXdPul,Christian Schmitt,259.0,21,['classical organ'],
3OGwbqEgvm6nbGpCMvvISw,VieTrio,208.0,15,[],
4uq6WgiAcgMOtuLrJ1PENc,Ego,658.0,0,[],"['cz (1)', 'sk (1)']"
0Bgc099SMFY5CxABCv6gxR,Giulia,17888.0,30,"['classic romanian pop', 'romanian house', 'romanian pop']",
2sXoPF96xE6cwIjcHxu5Z5,Poli Paul,1.0,0,[],
7MCkNPs41dUMJXx6bDI9E7,家家JiaJia,78.0,17,[],
2ALJBMyhbGODOEpstHfEqN,Rizzo,967.0,25,['r&b italiano'],
3i8ocGtbdq9Tot4g0Ephl4,AFrance,1487.0,13,[],
6J19N5JZkGRjuONpiizCIe,Sergio Denis,207148.0,47,"['argentine rock', 'pop romantico', 'rock nacional']",['ar (1)']
6jK80uUbEH7qA9x8iZ3YEO,K'LA,1992.0,15,[],
6mXIROUqds9st6vEykMzDQ,Klymvx,0.0,0,[],
0SkORhzzdXwG4cIoEgiodt,kayan9896,5659.0,39,['hk-pop'],['hk (3)']
6I62lkqyy7npSxNWgjQtwG,Ioulia Karapataki,4081.0,34,[],
4lQtkmkxmAqYiJA35koFwx,Fati Macedo,223.0,17,[],
7lpjzX5n0ka7cGEBi6xsKq,DJ Victor Falcão,176.0,16,[],
5Tt2MEYU4Rb9tiVC0jlnbZ,HLIF,3.0,9,[],
0pc9IOM5tKqyyc3QtpSc9h,Ali Kocatepe,1557.0,18,['classic turkish pop'],
45qwEAGFSoIAhlRJqYZIml,Jennifer Dias,20221.0,38,['kizomba'],
2NArc1q47oR96gAdaCp1ub,NBG Afterhours,1.0,0,[],
4BKYyEbBLn0sdAtvqIGrNN,Kenquo,3.0,0,[],
7dnT2FUXhjirperXaH22IJ,Rita Lee,829522.0,61,"['bossa nova', 'brazilian rock', 'mpb', 'nova mpb', 'tropicalia']",
6DX2gJEwNFHpy4G8z0C7Lc,Live City,179.0,8,[],
1yehjBSnDqgcoBmllwIZeo,Tamara Klusová,132.0,23,[],
1FJabG1WRCYVoe2IyyFRgS,Haha Crew,130.0,21,[],
5i9OTCs3gTPbDVIeRF2VtI,Dušan Bogdanović,1453.0,11,[],
7v4uoBQXCgUEbtHuvDfNce,Clear Six,836.0,23,[],
1uZW0AdX9UtVkFfOsLMY7t,Sasha Dobson,2614.0,26,[],
1as8k77QUF7dc73bjW6vin,Maurizio Montanari,23.0,1,[],
39ggZB0Z4PqYn0ZpjutURQ,Reide­r Larsen,0.0,0,[],
0PjwjckyZwud4p7iAIcspa,Niko Sun,5095.0,29,['mainland chinese pop'],
2rwgRDP8L5D5oyWF1RdlIq,ВесЪ,7472.0,37,['russian hip hop'],
4o1zIIgHPK4GcdNNbIXNPQ,Slater Manzo,1125.0,29,['canadian electronic'],
4OTFxPi5CtWyj1NThDe6z5,Weathers,246938.0,58,"['alt z', 'modern alternative rock', 'modern rock']",
7BrZWtO1Rf8hI176XJ0g93,Saltrap,608.0,8,[],
5E8nbRGMr541TMSF7bH3lD,Simiz,997.0,34,['romanian trap'],
3nvpifyn3Xqs8viPH8z3kF,Xonda,3.0,8,[],
6UJECCvpBu86OHJEEHGnUz,IKHLAS Band,128.0,15,[],
1RIlPKPC0v3zFI9BrFRIZZ,DJ Andies,25161.0,22,['indonesian viral pop'],
57aMHpsX2SXTbLatmeEd6j,Boss Doms,14740.0,48,"['brostep', 'edm']",
118OwtHPdC5az020NjWgoV,Downtown,8525.0,30,"['greek drill', 'greek underground rap']",
2of7NLLls0dBIQgfndMyxo,Tiga,228.0,14,[],
6iE69q1TorGZPoJoa4CIZ7,Savage,3.0,11,[],
71rVIYY3kpLf351mwWz1I9,William Henry Smith,1.0,0,[],
5RU7V9CQHl1CzWWIVBxPwK,SoYeon,633.0,23,[],
